OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STFIPS,COFIPS,SECTOR,LEVEL,HI_OFFER,DEG_GRANT,LOCALE,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP,SHELTER_ID,x,y,cc_id,total acres,district,campuses,settings,housing,website,founded,nickname,wikipedia_url
417,109907,BARSTOW COMMUNITY COLLEGE,2700 BARSTOW ROAD,BARSTOW,CA,92311,NOT AVAILABLE,(760) 252-2411,1,A,2720,SAN BERNARDINO,6071,USA,34.8714510300001,-117.025229949,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=109907,10/13/2009 12:00:00 AM,IMAGERY,7/15/2016 12:00:00 AM,www.barstow.edu/,6,71,4,1,40,1,32,-2,-2,NOT AVAILABLE,3,2,1387,1057,2444,2,-999,276,NOT AVAILABLE,-13027189.0078884,4146425.54555623,109907A;109907B,165.2,BARSTOW COMMUNITY COLLEGE DISTRICT,BARSTOW CAMPUS;NON-CAMPUS LAND,Town: Distant;nan,No;nan,www.barstow.edu/,1959,Vikings,en.wikipedia.org/wiki/Barstow_Community_College
426,121707,COLLEGE OF THE REDWOODS,7351 TOMPKINS HILL RD,EUREKA,CA,95501,9300,(707) 476-4100,1,A,4331,HUMBOLDT,6023,USA,40.6967440000001,-124.195075,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=121707,12/31/2009 12:00:00 AM,IMAGERY,7/18/2016 12:00:00 AM,www.redwoods.edu/,6,23,4,2,40,1,41,-2,-2,NOT AVAILABLE,3,2,2680,1211,3891,1,150,440,NOT AVAILABLE,-13825332.5080324,4967713.85211311,121707A;121707B;121707C;121707E;121707F;121707D,285.2,REDWOODS COMMUNITY COLLEGE DISTRICT,EUREKA CAMPUS;DEL NORTE EDUCATION CENTER;GARBERVILLE INSTRUCTIONAL SITE;EUREKA DOWNTOWN;EUREKA OLD TOWN;KLAMATH-TRINITY INSTRUCTIONAL SITE,Rural: Fringe;nan,Yes;nan,www.redwoods.edu/,1964,Corsairs,en.wikipedia.org/wiki/College_of_the_Redwoods
504,460464,NORCO COLLEGE,2001 THIRD ST,NORCO,CA,92860,NOT AVAILABLE,(951) 372-7000,1,A,10748,RIVERSIDE,6065,USA,33.9167523940001,-117.569994205,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=460464,6/25/2013 12:00:00 AM,IMAGERY/OTHER,5/26/2016 12:00:00 AM,www.norcocollege.edu/Pages/index.aspx,6,65,4,1,40,1,21,-2,-2,NOT AVAILABLE,2,4,8057,2204,10261,2,-999,487,NOT AVAILABLE,-13087831.8874687,4017629.37647633,460464A,144.7,RIVERSIDE COMMUNITY COLLEGE DISTRICT,NORCO COLLEGE CAMPUS,Suburb: Large,No,www.norcocollege.edu/Pages/index.aspx,1991,Mustangs,en.wikipedia.org/wiki/Norco_College
564,109350,ANTELOPE VALLEY COLLEGE,3041 WEST AVE K,LANCASTER,CA,93536,5426,(661) 722-6300,1,A,13223,LOS ANGELES,6037,USA,34.6762073260001,-118.186166454,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=109350,10/13/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,www.avc.edu/,6,37,1,1,30,1,21,-2,-2,NOT AVAILABLE,1,4,8275,3782,12057,2,-999,1166,10820633,-13156423.8684683,4119965.61022199,109350A;109350B;109350C,112.5,ANTELOPE VALLEY COMMUNITY COLLEGE DISTRICT,ANTELOPE VALLEY CAMPUS;NON-CAMPUS LAND;PALMDALE CENTER,Suburb: Large;nan,No;nan,www.avc.edu/,1929,Marauders,en.wikipedia.org/wiki/Antelope_Valley_College
608,111461,COLLEGE OF THE CANYONS,26455 ROCKWELL CANYON RD,SANTA CLARITA,CA,91355,1899,(661) 259-7800,1,A,21813,LOS ANGELES,6037,USA,34.4031209880001,-118.569523652,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=111461,10/13/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,www.canyons.edu/,6,37,4,1,40,1,21,-2,-2,NOT AVAILABLE,3,5,14495,6078,20573,2,-999,1240,NOT AVAILABLE,-13199098.9965416,4083060.62345362,111461A;111461B,221.6,SANTA CLARITA COMMUNITY COLLEGE DISTRICT,VALENCIA CAMPUS;CANYON COUNTRY CAMPUS,Suburb: Large;nan,No;nan,www.canyons.edu/,1969,Cougars,en.wikipedia.org/wiki/College_of_the_Canyons
609,112190,CITY COLLEGE OF SAN FRANCISCO,50 FRIDA KAHLO DRIVE,SAN FRANCISCO,CA,94112,1898,(415) 239-3000,1,A,21493,SAN FRANCISCO,6075,USA,37.725953207,-122.451155088,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=112190,10/13/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,www.ccsf.edu/,6,75,4,3,40,1,11,-2,-2,NOT AVAILABLE,5,4,12970,6737,19707,2,-999,1786,NOT AVAILABLE,-13631200.2314443,4540784.20004887,112190A;112190B;112190C;112190D;112190E;112190F;112190G;112190H;112190I;112190J;112190K,99.6,SAN FRANCISCO COMMUNITY COLLEGE DISTRICT,OCEAN CAMPUS;AIRPORT CENTER;CHINATOWN/NORTH BEACH CENTER;CIVIC CENTER;DOWNTOWN CENTER;EVANS CENTER;FORT MASON CENTER;GOUGH STREET CENTER;JOHN ADAMS CENTER;MISSION CENTER;SOUTHEAST CENTER,City: Large;nan,No;nan,www.ccsf.edu/,1935,Rams,en.wikipedia.org/wiki/City_College_of_San_Francisco
610,113193,CUESTA COLLEGE,HIGHWAY 1,SAN LUIS OBISPO,CA,93403,8106,(805) 546-3100,1,A,10780,SAN LUIS OBISPO,6079,USA,35.3298590000001,-120.741624,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=113193,12/31/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,https://www.cuesta.edu/,6,79,4,3,40,1,23,-2,-2,NOT AVAILABLE,2,4,7106,2987,10093,2,-999,687,NOT AVAILABLE,-13440896.1012329,4208798.50895609,113193A;113193B;113193D;113193C;113193E,351.1,CUESTA COLLEGE - SAN LUIS OBISPO COUNTY COMMUNITY COLLEGE DISTRICT,SAN LUIS OBISPO CAMPUS;NON-CAMPUS LAND;NORTH COUNTY CAMPUS;SOUTH COUNTY CENTER,Suburb: Small;nan,No;nan,https://www.cuesta.edu/,1963,Cougars,en.wikipedia.org/wiki/Cuesta_College
611,113573,COLLEGE OF THE DESERT,43-500 MONTEREY AVE,PALM DESERT,CA,92260,NOT AVAILABLE,(760) 346-8041,1,A,11741,RIVERSIDE,6065,USA,33.7324840000001,-116.38761,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=113573,12/31/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,www.collegeofthedesert.edu/,6,65,4,3,40,1,13,-2,-2,DESERT COMMUNITY COLLEGE DISTRICT,1,4,6735,4197,10932,2,-999,809,NOT AVAILABLE,-12956209.4798461,3992937.47771501,113573A;113573B;113573C;113573D;113573E,169.6,COLLEGE OF THE DESERT--DESERT COMMUNITY COLLEGE DISTRICT,PALM DESERT CAMPUS;INDIO CAMPUS;MECCA CAMPUS;DESERT HOT SPRINGS CAMPUS;PALM SPRINGS CAMPUS,Suburb: Large;nan,No;nan,www.collegeofthedesert.edu/,1958,Roadrunners,en.wikipedia.org/wiki/College_of_the_Desert
612,117645,LONG BEACH CITY COLLEGE,4901 E. CARSON ST.,LONG BEACH,CA,90808,1706,(562) 938-4111,1,A,24729,LOS ANGELES,6037,USA,33.831741347,-118.135819317,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=117645,10/13/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,www.lbcc.edu/,6,37,4,3,40,1,11,-2,-2,NOT AVAILABLE,7,5,13799,9348,23147,2,-999,1582,10822665,-13150819.2508146,4006231.31427976,117645A;117645B,144.5,LONG BEACH COMMUNITY COLLEGE DISTRICT,LIBERAL ARTS CAMPUS;PACIFIC COAST CAMPUS,City: Large;nan,No;nan,www.lbcc.edu/,1927,Vikings,en.wikipedia.org/wiki/Long_Beach_City_College
613,119216,MT SAN JACINTO COMMUNITY COLLEGE DISTRICT,1499 N. STATE ST.,SAN JACINTO,CA,92583,2399,(951) 487-6752,1,A,15396,RIVERSIDE,6065,USA,33.807364104,-116.970062639,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=119216,10/13/2009 12:00:00 AM,IMAGERY,7/7/2016 12:00:00 AM,www.msjc.edu/,6,65,4,2,40,1,22,-2,-2,MT. SAN JACINTO CCD,1,4,8763,5225,13988,2,-999,1408,NOT AVAILABLE,-13021047.8110308,4002964.96856368,119216A;119216B;119216C;119216D;119216E,228.4,MT. SAN JACINTO COMMUNITY COLLEGE DISTRICT,SAN JACINTO CAMPUS;MENIFEE VALLEY CAMPUS;SAN GORGONIO PASS CAMPUS;TEMECULA EDUCATION COMPLEX;TEMECULA HIGHER EDUCATION CENTER,Suburb: Midsize;nan,No;nan,www.msjc.edu/,1962,Eagles,en.wikipedia.org/wiki/Mt._San_Jacinto_College
